date,code,open,high,low,close,volume,amount
2016-03-16,sh.601398,4.24,4.35,4.23,4.32,290465136,1251693072.0
2016-03-17,sh.601398,4.3,4.31,4.26,4.29,156098379,668653056.0
2016-03-18,sh.601398,4.3,4.3,4.24,4.3,165222463,707016432.0
2016-03-21,sh.601398,4.3,4.34,4.28,4.31,135307955,584178800.0
2016-03-22,sh.601398,4.31,4.33,4.28,4.29,96265666,414085392.0
2016-03-23,sh.601398,4.3,4.33,4.28,4.3,98446751,424380976.0
2016-03-24,sh.601398,4.3,4.31,4.25,4.26,73796490,315119488.0
2016-03-25,sh.601398,4.26,4.28,4.25,4.28,37351400,159544356.0
2016-03-28,sh.601398,4.27,4.3,4.25,4.3,76782196,328072864.0
2016-03-29,sh.601398,4.28,4.3,4.25,4.25,85868439,366811040.0
2016-03-30,sh.601398,4.24,4.33,4.24,4.32,142674879,612563264.0
2016-03-31,sh.601398,4.31,4.33,4.28,4.29,91863121,394752224.0
2016-04-01,sh.601398,4.29,4.31,4.26,4.3,92120439,394940496.0
2016-04-05,sh.601398,4.3,4.33,4.28,4.32,100099566,430893536.0
2016-04-06,sh.601398,4.3,4.31,4.28,4.29,70570722,303213648.0
2016-04-07,sh.601398,4.3,4.3,4.26,4.26,74637985,319392784.0
2016-04-08,sh.601398,4.25,4.29,4.25,4.26,46683454,199218573.0
2016-04-11,sh.601398,4.26,4.31,4.26,4.29,67374407,289293760.0
2016-04-12,sh.601398,4.29,4.3,4.28,4.28,48195029,206670586.0
2016-04-13,sh.601398,4.29,4.34,4.29,4.32,153412951,662774064.0
2016-04-14,sh.601398,4.33,4.33,4.31,4.31,44085883,190430882.0
2016-04-15,sh.601398,4.33,4.33,4.29,4.3,68158357,293723680.0
2016-04-18,sh.601398,4.29,4.3,4.26,4.29,93235807,398952656.0
2016-04-19,sh.601398,4.29,4.3,4.27,4.29,41791422,179141441.0
2016-04-20,sh.601398,4.29,4.29,4.22,4.29,144911727,616860480.0
2016-04-21,sh.601398,4.26,4.31,4.25,4.3,80991192,346995824.0
2016-04-22,sh.601398,4.28,4.3,4.27,4.28,57375276,245818747.0
2016-04-25,sh.601398,4.27,4.28,4.25,4.27,44559176,190074175.0
2016-04-26,sh.601398,4.27,4.29,4.26,4.28,49455325,211470592.0
2016-04-27,sh.601398,4.28,4.28,4.26,4.28,31701532,135349084.0
2016-04-28,sh.601398,4.28,4.28,4.25,4.28,50901269,217190683.0
2016-04-29,sh.601398,4.27,4.27,4.25,4.26,46049086,196077297.0
2016-05-03,sh.601398,4.26,4.29,4.24,4.28,75971478,324449920.0
2016-05-04,sh.601398,4.27,4.28,4.26,4.27,40369142,172470706.0
2016-05-05,sh.601398,4.27,4.28,4.26,4.28,45022080,192148936.0
2016-05-06,sh.601398,4.28,4.28,4.23,4.24,71657233,305011456.0
2016-05-09,sh.601398,4.23,4.24,4.16,4.17,71439800,300202400.0
2016-05-10,sh.601398,4.16,4.18,4.14,4.16,59931469,249440935.0
2016-05-11,sh.601398,4.17,4.21,4.15,4.19,65089697,271739536.0
2016-05-12,sh.601398,4.17,4.2,4.15,4.18,53021658,221133234.0
2016-05-13,sh.601398,4.18,4.23,4.17,4.22,77867887,327611696.0
2016-05-16,sh.601398,4.2,4.26,4.2,4.25,58012956,245542612.0
2016-05-17,sh.601398,4.24,4.26,4.23,4.25,40929431,173829866.0
2016-05-18,sh.601398,4.25,4.25,4.18,4.24,58526023,247269141.0
