date,code,open,high,low,close,volume,amount,SMA_20,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff
2002-03-21,sh.600519,39.3,39.56,38.66,38.92,1503721,58789396.0,38.344,38.28499755836952,57.37167360249344,0.416610923385214,0.4396891385438456,-0.02307821515863162
2002-03-22,sh.600519,38.92,39.0,38.42,38.54,797276,30733685.0,38.38850000000001,38.30928350519147,53.79339660345334,0.38709612115766845,0.4291705350666102,-0.04207441390894173
2002-03-25,sh.600519,38.49,38.9,38.3,38.78,431507,16693141.0,38.445,38.35411364755419,55.67379269389099,0.37870593569554245,0.41907761519239667,-0.04037167949685422
2002-03-26,sh.600519,38.7,38.8,38.12,38.2,623909,23950585.0,38.4665,38.339436157310935,50.34195626367967,0.3215488851403663,0.3995718691819906,-0.07802298404162433
2002-03-27,sh.600519,38.15,38.46,37.91,38.1,499101,19022433.0,38.475,38.316632713757514,49.462411423726984,0.26512613743884117,0.37268272283336074,-0.10755658539451957
2002-03-28,sh.600519,38.01,38.28,38.0,38.01,529157,20150615.0,38.4755,38.28742959816156,48.63877094554441,0.2107194133144077,0.34029006092957015,-0.12957064761516246
2002-03-29,sh.600519,38.0,38.05,37.1,37.26,1062547,39865325.0,38.46900000000001,38.18957916024141,42.31520207297013,0.10586264184012606,0.29340457711168133,-0.18754193527155527
2002-04-01,sh.600519,37.16,37.79,37.12,37.6,276605,10386559.0,38.446999999999996,38.13342876402794,45.758045913677115,0.049625995906247056,0.24464886087059448,-0.19502286496434743
2002-04-02,sh.600519,37.61,37.76,36.81,37.02,732933,27163339.0,38.368500000000004,38.02738792935861,41.23664485821206,-0.04126739900954135,0.18746560889456731,-0.22873300790410867
2002-04-03,sh.600519,37.02,37.3,36.82,36.98,601945,22255856.0,38.2995,37.927636697991126,40.936224040710755,-0.11520077224544423,0.126932332666565,-0.24213310491200923
